"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","The Little Giants","Brown Town Clowns","66.4","75.5"
"","Cleveland Browns","The Injury Report","43.0","74.4"
"","Dirty Dick Dave","Dirty Sanchez","90.2","79.2"
"","Bergers and Johnsons","Black Juliet's","154.1","89.7"
"2017","Black Juliet's","Please Trade Shady","73.5","105.0"
"","Sentenced to 18 to Life","Dirty Sanchez","69.9","56.4"
"","Brown Town Clowns","Diddlers on the roof","67.4","110.0"
"","Dirty Dick Dave","Meadville Militia","78.5","97.4"
"","Bergers and Johnsons","The Little Giants","66.2","79.4"
"","The Little Giants","Please Trade Shady","109.6","77.8"
"","Brown Town Clowns","Sentenced to 18 to Life","93.3","71.9"
"","Dirty Sanchez","Dirty Dick Dave","52.6","98.9"
"","Diddlers on the roof","Bergers and Johnsons","84.6","89.3"
"","Meadville Militia","Black Juliet's","102.2","125.8"
"","Please Trade Shady","Diddlers on the roof","116.7","83.3"
"","Sentenced to 18 to Life","Dirty Dick Dave","114.1","95.6"
"","Bergers and Johnsons","Brown Town Clowns","111.0","109.2"
"","Black Juliet's","Dirty Sanchez","67.9","99.0"
"","The Little Giants","Meadville Militia","48.9","91.8"
"","Brown Town Clowns","Please Trade Shady","110.3","99.5"
"","Bergers and Johnsons","Sentenced to 18 to Life","61.8","113.0"
"","Dirty Dick Dave","Black Juliet's","81.2","72.8"
"","Dirty Sanchez","The Little Giants","86.2","94.9"
"","Diddlers on the roof","Meadville Militia","85.7","89.1"
"","Please Trade Shady","Bergers and Johnsons","100.5","94.1"
"","Sentenced to 18 to Life","Black Juliet's","82.7","93.9"
"","The Little Giants","Dirty Dick Dave","96.3","92.4"
"","Meadville Militia","Brown Town Clowns","56.8","72.9"
"","Diddlers on the roof","Dirty Sanchez","78.7","90.5"
"","Please Trade Shady","Sentenced to 18 to Life","119.3","80.2"
"","Black Juliet's","The Little Giants","70.1","104.1"
"","Bergers and Johnsons","Meadville Militia","110.7","119.3"
"","Dirty Dick Dave","Diddlers on the roof","116.5","107.3"
"","Brown Town Clowns","Dirty Sanchez","61.5","97.2"
"","Meadville Militia","Please Trade Shady","84.1","109.4"
"","Sentenced to 18 to Life","The Little Giants","73.2","66.2"
"","Diddlers on the roof","Black Juliet's","135.4","85.6"
"","Dirty Sanchez","Bergers and Johnsons","69.3","93.7"
"","Brown Town Clowns","Dirty Dick Dave","87.8","111.7"
"","Please Trade Shady","Dirty Sanchez","115.5","87.0"
"","Meadville Militia","Sentenced to 18 to Life","127.5","64.6"
"","The Little Giants","Diddlers on the roof","103.4","69.1"
"","Black Juliet's","Brown Town Clowns","87.0","149.0"
"","Bergers and Johnsons","Dirty Dick Dave","92.2","92.2"
"","Dirty Dick Dave","Please Trade Shady","78.4","80.2"
"","Sentenced to 18 to Life","Diddlers on the roof","83.9","99.7"
"","Dirty Sanchez","Meadville Militia","75.9","100.0"
"","Brown Town Clowns","The Little Giants","93.1","79.5"
"","Bergers and Johnsons","Black Juliet's","120.6","84.1"
"","Please Trade Shady","Black Juliet's","67.9","57.3"
"","Dirty Sanchez","Sentenced to 18 to Life","84.0","103.1"
"","Diddlers on the roof","Brown Town Clowns","88.0","117.3"
"","Meadville Militia","Dirty Dick Dave","128.6","79.2"
"","The Little Giants","Bergers and Johnsons","98.4","89.4"
"","Please Trade Shady","The Little Giants","111.6","116.1"
